,fpr,tpr
0,0.0,0.0
1,0.0,0.4
2,0.0,0.43333333333333335
3,0.0,0.45
4,0.0,0.4666666666666667
5,0.0,0.48333333333333334
6,0.0,0.5
7,0.0,0.5166666666666667
8,0.0,0.5333333333333333
9,0.0,0.55
10,0.0,0.5666666666666667
11,0.0,0.5833333333333334
12,0.0,0.6
13,0.0,0.6166666666666667
14,0.0,0.6333333333333333
15,0.0,0.65
16,0.0,0.6666666666666666
17,0.0,0.6833333333333333
18,0.0,0.7
19,0.0,0.7166666666666667
20,0.0,0.7333333333333333
21,0.0,0.75
22,0.0,0.7666666666666667
23,0.0,0.7833333333333333
24,0.0,0.8
25,0.0,0.8166666666666667
26,0.0,0.8333333333333334
27,0.0,0.85
28,0.0,0.8666666666666667
29,0.0,0.8833333333333333
30,0.0,0.9
31,0.0,0.9166666666666666
32,0.0,0.9333333333333333
33,0.0,0.95
34,0.0,0.9666666666666667
35,0.009009009009009009,0.9666666666666667
36,0.018018018018018018,0.9666666666666667
37,0.02702702702702703,0.9666666666666667
38,0.036036036036036036,0.9666666666666667
39,0.04504504504504504,0.9666666666666667
40,0.05405405405405406,0.9666666666666667
41,0.05405405405405406,0.9833333333333333
42,0.06306306306306306,0.9833333333333333
43,0.07207207207207207,0.9833333333333333
44,0.08108108108108109,0.9833333333333333
45,0.09009009009009009,0.9833333333333333
46,0.0990990990990991,0.9833333333333333
47,0.10810810810810811,0.9833333333333333
48,0.11711711711711711,0.9833333333333333
49,0.12612612612612611,0.9833333333333333
50,0.13513513513513514,0.9833333333333333
51,0.13513513513513514,1.0
52,0.14414414414414414,1.0
53,0.15315315315315314,1.0
54,0.16216216216216217,1.0
55,0.17117117117117117,1.0
56,0.18018018018018017,1.0
57,0.1891891891891892,1.0
58,0.1981981981981982,1.0
59,0.2072072072072072,1.0
60,0.21621621621621623,1.0
61,0.22522522522522523,1.0
62,0.23423423423423423,1.0
63,0.24324324324324326,1.0
64,0.25225225225225223,1.0
65,0.26126126126126126,1.0
66,0.2702702702702703,1.0
67,0.27927927927927926,1.0
68,0.2882882882882883,1.0
69,0.2972972972972973,1.0
70,0.3063063063063063,1.0
71,0.3153153153153153,1.0
72,0.32432432432432434,1.0
73,0.3333333333333333,1.0
74,0.34234234234234234,1.0
75,0.35135135135135137,1.0
76,0.36036036036036034,1.0
77,0.36936936936936937,1.0
78,0.3783783783783784,1.0
79,0.38738738738738737,1.0
80,0.3963963963963964,1.0
81,0.40540540540540543,1.0
82,0.4144144144144144,1.0
83,0.42342342342342343,1.0
84,0.43243243243243246,1.0
85,0.44144144144144143,1.0
86,0.45045045045045046,1.0
87,0.4594594594594595,1.0
88,0.46846846846846846,1.0
89,0.4774774774774775,1.0
90,0.4864864864864865,1.0
91,0.4954954954954955,1.0
92,0.5045045045045045,1.0
93,0.5135135135135135,1.0
94,0.5225225225225225,1.0
95,0.5315315315315315,1.0
96,0.5405405405405406,1.0
97,0.5495495495495496,1.0
98,0.5585585585585585,1.0
99,0.5675675675675675,1.0
100,0.5765765765765766,1.0
101,0.5855855855855856,1.0
102,0.5945945945945946,1.0
103,0.6036036036036037,1.0
104,0.6126126126126126,1.0
105,0.6216216216216216,1.0
106,0.6306306306306306,1.0
107,0.6396396396396397,1.0
108,0.6486486486486487,1.0
109,0.6576576576576577,1.0
110,0.6666666666666666,1.0
111,0.6756756756756757,1.0
112,0.6846846846846847,1.0
113,0.6936936936936937,1.0
114,0.7027027027027027,1.0
115,0.7117117117117117,1.0
116,0.7207207207207207,1.0
117,0.7297297297297297,1.0
118,0.7387387387387387,1.0
119,0.7477477477477478,1.0
120,0.7567567567567568,1.0
121,0.7657657657657657,1.0
122,0.7747747747747747,1.0
123,0.7837837837837838,1.0
124,0.7927927927927928,1.0
125,0.8018018018018018,1.0
126,0.8108108108108109,1.0
127,0.8198198198198198,1.0
128,0.8288288288288288,1.0
129,0.8378378378378378,1.0
130,0.8468468468468469,1.0
131,0.8558558558558559,1.0
132,0.8648648648648649,1.0
133,0.8738738738738738,1.0
134,0.8828828828828829,1.0
135,0.8918918918918919,1.0
136,0.9009009009009009,1.0
137,0.9099099099099099,1.0
138,0.918918918918919,1.0
139,0.9279279279279279,1.0
140,0.9369369369369369,1.0
141,0.9459459459459459,1.0
142,0.954954954954955,1.0
143,0.963963963963964,1.0
144,0.972972972972973,1.0
145,0.9819819819819819,1.0
146,0.990990990990991,1.0
147,1.0,1.0
